Feature,Importance
age_index_max,0.2834284915815057
age_index,0.2580907696557683
Temperature,0.08677503977381976
temp_summer,0.08581143646046283
temp_stress,0.08279274128956594
Total_Length_km,0.0619607983994407
loading_pct,0.01839866892387528
joint_density,0.014397659435713249
season_summer,0.01181316939825471
Loading_amps,0.01127353022846355
derating_ratio,0.01041816440560036
No_of_Joints,0.010153256989460058
loading_summer,0.009712722624087922
AEML_Derated_Limit,0.009332666152919777
is_summer,0.00917136007930374
Joint_Age,0.007474707501290101
OEM_Rating,0.006747181355796391
age_winter,0.005746205290331769
No_of_Cables_in_Duct,0.005229364797595955
season_winter,0.004141990753764605
is_winter,0.0033675788435015216
CableSize_300 Sq.mm,0.0010292575742087372
Cable_Condition_simple_deteriorated,0.0009640551704129632
old_joint_flag,0.0004834261365139584
Cable_Condition_simple_unknown,0.0004719058069744979
CableSize_400,0.00031087944342883354
CableSize_150,0.00026555755547867335
CableSize_300,0.0001707980761306496
CableSize_150+300,6.661629632953432e-05
has_XLPE,0.0
is_monsoon,0.0
has_PILC,0.0
joints_monsoon,0.0
CableSize_150+300+400,0.0
CableSize_300+400,0.0
CableSize_300+400 Sq.mm,0.0
CableType_XLPE,0.0
season_monsoon,0.0
