feature,importance
cable_age_category_MISSING,0.16704715249810428
age_index_max,0.14038733805421033
temp_category_MISSING,0.13200986701559383
age_index,0.12674182012863106
age_loading_interaction,0.08004723324548461
temp_stress,0.05235617263655074
Temperature,0.04682491331324564
loading_temp_interaction,0.044368899662340575
age_temp_interaction,0.03740743179234713
temp_summer_weighted,0.03707640501010792
temp_category_HOT,0.02436103440031305
cable_age_category_NEW,0.02384806665509272
Total_Length_km,0.02373712057771521
temp_category_WARM,0.012697523129005541
cable_age_category_MEDIUM,0.00723416101502001
loading_pct,0.006388260850794554
is_summer,0.0050644293528789245
Joint_Age,0.004275522132898017
joint_density,0.003550711576651728
loading_category_MEDIUM,0.002627720630322026
AEML_Derated_Limit,0.002240622726180225
age_winter_weighted,0.0021855874312648907
joint_age_category_MISSING,0.002094058499608079
OEM_Rating,0.0018724200538121586
No_of_Joints,0.0016125815718595145
loading_summer_weighted,0.0015321801804363175
season_SUMMER,0.0013558234990510034
joint_category_VERY_HIGH,0.0008344718356542507
Loading_amps,0.000828494753005974
joint_category_HIGH,0.0008215463306683041
No_of_Cables_in_Duct,0.0007347332963660843
joint_age_category_NEW,0.0007041732259690947
derating_ratio,0.0006896066195281882
loading_winter_weighted,0.0006570284164682556
is_winter,0.0006328328614487317
derating_severity_MODERATE,0.0005910871004089201
season_WINTER,0.0005408583186360962
Cable_Condition_simple_GOOD,0.0005068268734796533
CableSize_300 SQ.MM,0.0004740646389314498
loading_category_LOW,0.00046625116308883345
CableSize_150+300,0.0002294394186286079
joint_category_MEDIUM,9.800799729570672e-05
joint_category_LOW,7.572684246112236e-05
CableSize_150,4.94840529044086e-05
joint_age_category_OLD,4.7768323630392823e-05
loading_category_MISSING,2.8155009119476117e-05
CableSize_300,2.257729997500751e-05
joint_age_category_MEDIUM,1.9902285813122454e-05
old_joint_flag,1.9056969983199853e-06
is_monsoon,0.0
joints_monsoon_weighted,0.0
has_PILC,0.0
has_XLPE,0.0
CableSize_300+400 SQ.MM,0.0
CableSize_300+400,0.0
is_mixed,0.0
CableSize_150+300+400,0.0
condition_monsoon_weighted,0.0
Cable_Condition_simple_UNKNOWN,0.0
Cable_Condition_simple_DETERIORATED,0.0
CableSize_400,0.0
loading_category_HIGH,0.0
cable_type_simplified_XLPE,0.0
season_MONSOON,0.0
joint_category_MISSING,0.0
temp_category_CRITICAL,0.0
derating_severity_MILD,0.0
temp_category_NORMAL,0.0
joint_age_category_VERY_OLD,0.0
