feature,importance
temp_category_MISSING,0.17926454342509332
cable_age_category_MISSING,0.14014954422980466
age_index,0.1377007720051505
age_index_max,0.1353052293537622
age_loading_interaction,0.06914498967261166
temp_summer_weighted,0.041608895286742484
temp_stress,0.03654690002985268
Temperature,0.036353169556357465
age_temp_interaction,0.03596949678376341
cable_age_category_NEW,0.032957065980196966
Total_Length_km,0.03038809914227418
loading_temp_interaction,0.02889678621070693
temp_category_HOT,0.020038621585197643
cable_age_category_MEDIUM,0.010835668737562336
temp_category_WARM,0.010470162286873618
No_of_Joints,0.007925229608699331
loading_pct,0.0067355277638211745
joint_density,0.006288381490976297
Loading_amps,0.006128912404270488
loading_category_MEDIUM,0.006102460112829609
derating_ratio,0.0036935313666855074
joint_age_category_MISSING,0.002741738205203541
OEM_Rating,0.0021994197706036813
loading_summer_weighted,0.0018846704206991038
No_of_Cables_in_Duct,0.0017996011328719108
Joint_Age,0.0017266932796364217
joint_age_category_NEW,0.0015929840817882734
CableSize_150+300,0.0012942558769106934
loading_category_LOW,0.000829507889152043
Cable_Condition_simple_GOOD,0.0005377979068672647
joint_category_HIGH,0.0004732892396792306
AEML_Derated_Limit,0.0004646430046874227
joint_age_category_VERY_OLD,0.0004494539811501738
derating_severity_MILD,0.00043956903885227985
loading_category_MISSING,0.0004064359357371056
CableSize_300,0.00023864224865761675
CableSize_400,0.0002284753774969778
joint_category_VERY_HIGH,6.356021219163755e-05
old_joint_flag,5.352646000015045e-05
joint_age_category_OLD,3.7410654554417106e-05
joint_category_MISSING,1.4825357291110778e-05
joint_category_LOW,7.27756638180207e-06
joint_category_MEDIUM,6.813226744186063e-06
joint_age_category_MEDIUM,5.422099610476316e-06
joints_monsoon_weighted,0.0
is_winter,0.0
is_summer,0.0
is_monsoon,0.0
condition_monsoon_weighted,0.0
age_winter_weighted,0.0
CableSize_150+300 SQ. MM,0.0
CableSize_150,0.0
has_XLPE,0.0
is_mixed,0.0
has_PILC,0.0
loading_winter_weighted,0.0
Cable_Condition_simple_DETERIORATED,0.0
Cable_Condition_simple_UNKNOWN,0.0
loading_category_HIGH,0.0
season_SUMMER,0.0
CableSize_300+400,0.0
CableSize_300 SQ.MM,0.0
CableSize_300+400 SQ.MM,0.0
cable_type_simplified_XLPE,0.0
temp_category_CRITICAL,0.0
derating_severity_MODERATE,0.0
